,body_neg,body_neu,body_pos,body_com,title_neg,title_neu,title_pos,title_com,Title Length,Body Length,Total Length,Title Emoji,Body Emoji,Title Ellipses,Body Ellipses,Title Hashtags,Body Hashtags,Title Exclamations,Body Exclamations,Status Rank,# Reviews,Target Rating
7627,0.144,0.735,0.12,-0.2481,0.0,1.0,0.0,0.0,1,39,40,0,0,0,0,0,0,0,1,0,1,1
7631,0.096,0.828,0.076,-0.1531,0.293,0.707,0.0,-0.4404,8,28,36,0,0,0,0,0,0,0,0,0,1,1
7632,0.096,0.828,0.076,-0.1531,0.293,0.707,0.0,-0.4404,8,28,36,0,0,0,0,0,0,0,0,0,1,1
7633,0.032,0.742,0.226,0.8655,0.268,0.732,0.0,-0.296,7,49,56,0,0,0,0,0,0,0,1,1,1,5
7634,0.0,0.811,0.189,0.942,0.0,0.263,0.737,0.8555,5,84,89,0,0,0,0,0,0,0,4,1,1,5
7636,0.0,0.814,0.186,0.7131,0.0,1.0,0.0,0.0,2,33,35,0,0,0,0,0,0,0,0,2,1,4
7637,0.0,0.913,0.087,0.2732,0.0,0.335,0.665,0.714,5,28,33,0,0,0,0,0,0,0,0,3,1,4
7638,0.1,0.867,0.033,-0.6802,0.0,1.0,0.0,0.0,7,111,118,0,1,0,0,0,0,0,0,0,1,3
7639,0.156,0.844,0.0,-0.795,0.0,1.0,0.0,0.0,8,66,74,0,0,1,1,0,0,0,0,0,3,1
7662,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,5,59,64,0,0,0,0,0,0,0,0,2,1,2
7663,0.0,0.813,0.187,0.7178,0.0,0.5,0.5,0.25,3,30,33,0,0,0,0,0,0,0,0,0,1,5
7664,0.121,0.402,0.478,0.7906,0.0,0.61,0.39,0.4939,6,14,20,0,0,0,0,0,0,0,0,0,1,5
7667,0.0,0.839,0.161,0.6969,0.0,1.0,0.0,0.0,7,35,42,0,0,0,0,0,0,0,0,3,1,5
7668,0.0,0.614,0.386,0.857,0.0,1.0,0.0,0.0,1,21,22,0,0,0,0,0,0,0,0,2,1,5
7669,0.0,0.65,0.35,0.906,0.0,0.61,0.39,0.4939,6,28,34,0,0,0,0,0,0,0,1,0,1,5
7671,0.0,0.83,0.17,0.9367,0.0,1.0,0.0,0.0,5,92,97,0,0,0,0,0,0,0,0,0,1,5
7673,0.0,0.714,0.286,0.9042,0.0,1.0,0.0,0.0,7,35,42,0,0,0,0,0,0,0,0,0,1,5
7674,0.0,0.778,0.222,0.9771,0.0,0.656,0.344,0.2732,5,128,133,0,0,0,2,0,0,0,0,0,1,5
7675,0.0,0.766,0.234,0.8906,0.0,0.618,0.382,0.4754,6,49,55,0,0,0,0,0,0,0,0,0,1,4
7676,0.0,0.874,0.126,0.3818,0.0,1.0,0.0,0.0,2,21,23,0,0,0,0,0,0,0,0,0,1,4
7677,0.0,0.797,0.203,0.3716,0.585,0.415,0.0,-0.4256,4,14,18,0,0,0,0,0,0,0,0,2,1,3
7678,0.0,0.745,0.255,0.7328,0.0,1.0,0.0,0.0,7,24,31,0,0,0,0,0,0,0,0,3,1,5
7679,0.0,0.756,0.244,0.4404,0.0,1.0,0.0,0.0,6,11,17,0,0,0,0,0,0,0,0,2,1,5
7681,0.0,0.854,0.146,0.7696,0.0,1.0,0.0,0.0,3,48,51,0,0,0,0,0,0,0,5,3,1,5
7682,0.0,0.674,0.326,0.8793,0.0,1.0,0.0,0.0,2,28,30,0,0,0,0,0,0,0,0,0,1,5
7683,0.0,0.9,0.1,0.4173,0.0,1.0,0.0,0.0,5,30,35,0,0,0,0,0,0,0,0,3,1,5
7684,0.0,0.925,0.075,0.4404,0.0,1.0,0.0,0.0,7,43,50,0,0,0,0,0,0,0,0,3,1,5
7686,0.0,0.854,0.146,0.4714,0.0,0.328,0.672,0.6249,3,24,27,0,0,0,0,0,0,0,1,3,1,5
7687,0.076,0.807,0.117,0.204,0.0,1.0,0.0,0.0,4,51,55,0,0,0,0,0,0,0,0,0,1,1
7688,0.076,0.807,0.117,0.204,0.0,1.0,0.0,0.0,4,51,55,0,0,0,0,0,0,0,0,0,1,1
7690,0.04,0.869,0.091,0.7362,0.135,0.865,0.0,-0.3252,18,167,185,0,0,0,0,0,0,0,0,1,1,2
7693,0.046,0.954,0.0,-0.1655,0.0,1.0,0.0,0.0,7,38,45,0,0,0,0,0,0,0,0,2,1,2
7694,0.016,0.862,0.122,0.877,0.0,1.0,0.0,0.0,4,100,104,0,0,0,0,0,0,1,4,3,2,5
7695,0.0,0.561,0.439,0.8803,0.0,0.653,0.347,0.4927,7,21,28,0,0,0,0,0,0,0,1,0,1,5
7696,0.0,0.844,0.156,0.9124,0.0,0.617,0.383,0.7351,14,103,117,0,0,1,0,0,0,0,4,3,2,5
7698,0.0,0.647,0.353,0.8473,0.0,1.0,0.0,0.0,5,22,27,0,0,0,1,0,0,0,0,3,1,5
7699,0.106,0.625,0.269,0.5267,0.0,1.0,0.0,0.0,6,19,25,0,0,0,0,0,0,0,0,3,2,5
7700,0.0,0.472,0.528,0.9041,0.0,0.297,0.703,0.7959,6,16,22,0,0,0,0,0,0,1,1,3,1,5
7702,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,5,7,12,0,0,0,0,0,0,0,1,0,1,1
7703,0.171,0.829,0.0,-0.7959,0.451,0.549,0.0,-0.6249,6,56,62,0,0,0,0,0,0,0,0,0,1,1
7704,0.171,0.829,0.0,-0.7959,0.451,0.549,0.0,-0.6249,6,56,62,0,0,0,0,0,0,0,0,0,1,1
7706,0.092,0.803,0.106,0.8119,0.451,0.549,0.0,-0.6249,6,960,966,0,0,0,0,0,0,0,4,1,1,1
7707,0.184,0.668,0.147,-0.34,0.451,0.549,0.0,-0.6249,6,34,40,0,0,0,0,0,0,0,0,0,1,1
7708,0.184,0.668,0.147,-0.34,0.451,0.549,0.0,-0.6249,6,34,40,0,0,0,0,0,0,0,0,0,1,1
7709,0.374,0.525,0.101,-0.9562,0.577,0.423,0.0,-0.6249,4,45,49,0,0,0,0,0,0,0,0,0,1,1
7710,0.331,0.31,0.359,0.1154,0.506,0.494,0.0,-0.6249,6,11,17,0,0,0,0,0,0,0,0,2,1,1
